id	name	code	hsn	tax_pct
3588	JOHNSONS MILK RICE LOTION 50ML	8901012116951	33049930	18.00
3589	JHONSONS BABY SHAMPOO 525/-	8901012116944	33051090	18.00
3590	J.BABY SHAMPOO 200ML	8901012116937	330510	18.00
3591	J.BABY SHAMPOO 100ML	8901012116920	330510	18.00
3592	J.BABY SHAMPOO  60ML	8901012116913	330510	18.00
3593	JOHNSONS BABY TOP-TO-TOE 210/-	8901012116890		18.00
3594	JOHNSONS BABY TOP TO TOE BATH 70/-	8901012116876	33049990	18.00
3595	JOHNSONS BABY LOTION 475/-	8901012116869	33049930	18.00
3596	JOHNSONS BABY LOTION 220/-	8901012116852	33049930	18.00
3597	JOHNSONS BABY LOTION 115/-	8901012116845	33049990	18.00
3598	GOHUNONS BABY LOTION 50ML	8901012116838	33049930	18.00
3599	J.BABY CREAM 100GM	8901012116821	330499	18.00
3600	J.BABY CREAM  50GM	8901012116814	330499	18.00
3601	J.BABY CREAM  30GM	8901012116807	330499	18.00
3602	J.BABY OIL 500ML	8901012116739	330499	18.00
3603	J.BABY OIL 200ML	8901012116722	330499	18.00
3604	J.BABY OIL 100ML	8901012116715	330499	18.00
3605	J.BABY OIL  50ML	8901012116708	330499	18.00
3606	JOHNSONS BABY MILK SOAP 75GM	8901012116685	34011190	18.00
3607	JOHNSONS BABY SOAP BLOSSOMS 80/-	8901012116678	33049990	18.00
3608	J.BABY SOAP 150GM	8901012116661	340111	18.00
3609	JOHNSONS BABY SOAP 92/-	8901012116654	33049990	18.00
3610	J.BABY SOAP 75GM	8901012116647	340111	18.00
3611	JOHNSONS BABY SOAP 50/-	8901012116630	33049990	18.00
3612	J.BABY SOAP 15/=	8901012116623	340111	18.00
3613	JOHNSONS MILK+RICE CREAM 420/-	8901012114223		18.00
3614	JOHNSONS BABY CREAM 400/-	8901012114216	33049990	18.00
3615	STAYFREE DRY MAX	8901012102510	96190010	12.00
3616	JOHNSONS BABY GIFT SET	8901012102299	33049990	18.00
3617	JOHNSONS BABY WIVES 150/-	8901012102060	33079090	18.00
3618	STAYFREE ADVANCED XXL+ 90/-	8901012101230	96190010	12.00
3619	JOHNSONS BABY GIFT SET 1000/-	8901012101193	33049990	18.00
3620	JOHNSON BABY GIFT SET 2 POUCH	8901012101186	33049990	18.00
3621	JOHNSONS BABY GIFT SET 250/-	8901012101179	33049990	18.00
3622	JOHNSONS BABY POWDER 375/-	8901012100585		18.00
3623	J.BABY POWDER 200GM	8901012100578	330491	18.00
3624	J.BABY POWDER 100GM	8901012100561	330491	18.00
3625	J.BABY POWDER  50 GM	8901012100554	330491	18.00
3626	J.BABY POWDER.25g 30/-BOX	8901012100547	33049190	18.00
3627	JOHNSONS BABY POWDER BLOSSOMS 240/-	8901012100530		18.00
3628	JOHNSONS BABY POWDER BLOSSOMS 130/-	8901012100523	33049190	18.00
3629	JOHNSONS BABY POWDER 50GM	8901012100516	33049190	18.00
3630	NESCAFE CLASSIC 45G	89009949	21011110	18.00
3631	NESCAFE CLASSIC 24G	89009758	21011110	18.00
3632	DABUR LAL MANJAN 50G	89009741	33061010	18.00
3633	GULABARI 60ML	89009611	330300	18.00
3634	DABUR AMLA 110ML	89009550	33059011	18.00
3635	HAJMOLA ANARDANA BOTTLE 50N	89006290	30049011	12.00
3636	IODEX SMALL 8GM	89006245	30049011	12.00
3637	HAJMOLA PUDINA BOTTLE 50N	89004883	30049011	12.00
3638	HAJMOLA IMLI BOTTLE  50N	89004876	30049011	12.00
3639	HAJMOLA REG BOTTLE 50N	89004869	30049011	12.00
3640	DUBUR PUDIN HARA 10ML	89003985	30049099	12.00
3641	IODEX LARGE 40GM	89003978	30049011	12.00
3642	MEDICARE SHAMPOO BOTTEL	89002681	300490	18.00
3643	MEDICARE OIL	89002612	300490	18.00
3644	MANGAL GHAT  AGARBATTI	8900185247851	33074100	5.00
3645	KINLEY WATER 500ML	89000724	22019090	18.00
3646	LIMCA 500ML	89000601	NA	28.00
3647	THUMS UP 500ML	89000595	22021010	28.00
3648	SPRITE 500ML	89000588	22021010	28.00
3649	FANTA 500ML	89000571	NA	28.00
3650	COCA COLA 500ML	89000564	22021010	28.00
3651	LODEX  BUMP	89000014	30049011	18.00
3652	TIGER BALM RED  S	8888650419029	300490	18.00
3653	TIGER BALM WHITE  S	8888650418022	300490	18.00
3654	TIGER BALM RED  L	8888650404070	300490	18.00
3655	TIGER BALM WHITE  L	8888650403073	300490	18.00
3656	PRINGLES MASALA POTATO CHIPS 134 G	8886467128127	19059090	18.00
3657	PRINGLES DESI MASALA TADKA 60/-	8886467127977	19059090	18.00
3658	PRINGLES TANGY TOMATO TWIST 120/-	8886467125614	19059090	18.00
3659	PRINGLES SOUR CREAM 60/-	8886467124723	19059090	18.00
3660	PRINGLES ORIGINAL 60/-	8886467124716	19059090	18.00
3661	PRINGLES SR CRM ONN PTT CHIPS 141G	8886467122873	19059090	18.00
3662	PRINGLES 0RIGINAL POTATO CRISPS 141G	8886467122866	19059090	18.00
3663	PRINGLES SOUTH AFRICA STYLE PERI PERI 125/-	8886467122446	19059090	18.00
3664	PRINGLES DESI MASALA TADKA 125/-	8886467122439	19059090	18.00
3665	PRINGLES PIZZA FLAVOUR 125/-	8886467122415	19059090	18.00
3666	PRNGLES SOUR CREAM ONION 125/-	8886467122408		18.00
3667	PRINGLES ORIGINAL 125/-	8886467122392	19059090	18.00
3668	CAMAY SOAP CLASIC	8886467071997	34011190	18.00
3669	CAMAY SOAP CHIC	8886467071973	34011190	18.00
3670	CAMAY SOAP NATURAL	8886467071959	NA	18.00
3671	OVALIINE  MALTED CHOCO 400G	8850086191411	19019090	18.00
3672	OVALTINE MALTED MILK 400G	8850086181405	19019090	18.00
3673	LISTERINE ORIGINAL 100ML	8850007817703	33069000	18.00
3674	LISTERINE COOL MINT 75/-	8850007817642	33069000	18.00
3675	LISTERINE TOTAL CARE MOUTH WASH 400/-	8850007816805	33069000	18.00
3676	NEUTROGENA GENTLE FOAMING CLEANSER 185/-	8850007540274	33049990	18.00
3677	COLGATE SENSITIVE  EVERYDAY PROTECTION 80G	8850006962800	33061020	18.00
3678	COLGATE MAXFRESH 42G	8850006961629	NA	18.00
3679	COLGATE  VISIBLE WHITE  60G	8850006959527	30049011	18.00
3680	COLGATE 200G	8850006958391	NA	18.00
3681	COLGATE ACTIVE SALT 34G	8850006958254	30049011	18.00
3682	COLGATE BRILLIANTSTA	8850006958131	33061020	18.00
3683	CHARCOAL FACIAL SHEET MASK	8809721161579	33049990	18.00
3684	RICE WATER FACIAL SHEET MASK	8809721161555	33049990	18.00
3685	MIIRABELLE KOREAN MASK	8809721161494	33049990	18.00
3686	MIRABELLE CUCUMBER SHEET MASK	8809721161449	33049990	18.00
3687	PAPAYA FACIAL SHEET MASK	8809721161418	33049990	18.00
3688	MIRABELLE CHARCOAL SHEET MASK	8809311915704	33049990	18.00
3689	MIRABELLE ALOEVERA SHEET MASK	8809311914271		18.00
3690	MIRABELLE FACIAL SHEET MASK	8809311914240		18.00
3691	NESCAFE GOLD BLEND 100G	8801055724604	21011110	18.00
3692	BIRDS ERASER	8800012320132	NA	18.00
3693	ALMOND CRUNCH	8721274500400	21050000	12.00
